#{"t_start": 1530713429.4165452, "env_id": "Humanoid-v2"}
r,l,t
340.06863,73,168.847764
390.120524,84,169.035829
364.183286,76,169.206997
288.611411,57,169.299093
374.327631,81,169.413628
495.035783,91,169.560686
443.48869,85,169.696048
379.827564,84,169.848995
407.891693,86,169.990856
451.645469,86,170.147533
501.201271,110,170.32211
362.06502,70,170.430392
330.068009,63,170.525922
325.351976,75,170.639839
403.043468,77,170.75582
615.266741,119,170.940501
389.334082,76,171.057874
397.969567,76,171.171219
417.68961,83,171.310448
366.471226,69,171.450032
614.316864,127,174.345588
353.108461,70,174.452737
365.335236,84,174.57528
439.038631,87,174.732894
350.119836,68,174.872893
750.987142,154,175.137566
329.333878,75,175.251265
359.656778,70,175.350774
459.887057,99,175.508407
347.812651,66,175.610524
465.561963,88,175.767808
536.15547,110,175.972074
696.238736,144,176.239938
398.606436,82,176.372424
524.721971,104,176.570761
462.525441,88,176.691928
423.479598,94,176.83117
404.879017,78,176.971007
579.244552,123,177.213034
435.194754,89,177.375472
439.5967,84,177.516079
364.258651,87,177.659594
358.438446,84,180.160819
457.474116,87,180.299932
507.372309,102,180.456425
461.341359,93,180.602552
438.460406,83,180.733595
683.043087,135,181.020574
386.558024,80,181.170115
412.593759,90,181.334543
461.671371,100,181.529319
353.151351,67,181.624981
435.519191,83,181.741107
406.899209,78,181.854389
372.843556,72,181.961994
406.189589,92,182.106552
457.260885,103,182.253975
434.028833,81,182.378057
348.008647,81,182.531898
436.310017,85,182.665665
359.721217,70,182.77769
386.574979,80,182.892729
526.832058,108,183.064492
478.760056,102,183.275658
630.190465,123,183.453707
508.050146,102,186.332232
445.515739,96,186.509543
406.272288,88,186.656024
424.828678,87,186.810605
